1,Mon,Lunch,Down01,牛丼,0.5
1,Mon,Lunch,Down02,ゼリー,0
1,Mon,Lunch,Up01,卵ソーセージ,0.9
1,Mon,Lunch,Up02,バナナ,0
1,Mon,Dinner,サラダ,シーチキンサラダ,0.6
1,Mon,Dinner,果物,もも,0
1,Mon,Dinner,汁物,味噌汁,1.5
1,Mon,Dinner,メイン,ステーキ,0
2,Tue,Lunch,Down01,野菜炒め,0.3
2,Tue,Lunch,Down02,ゼリー,0
2,Tue,Lunch,Up01,卵ソーセージ,0.9
2,Tue,Lunch,Up02,バナナ,0
2,Tue,Dinner,サラダ,シーチキンサラダ,0.6
2,Tue,Dinner,果物,もも,0
2,Tue,Dinner,汁物,味噌汁,0.8
2,Tue,Dinner,メイン,まぐろ,1.2
3,Wed,Lunch,Down01,野菜炒め,0.3
3,Wed,Lunch,Down02,ゼリー,0
3,Wed,Lunch,Up01,卵ソーセージ,0.9
3,Wed,Lunch,Up02,バナナ,0
3,Wed,Dinner,サラダ,シーチキンサラダ,0.6
3,Wed,Dinner,果物,もも,0
3,Wed,Dinner,汁物,味噌汁,0.8
3,Wed,Dinner,メイン,まぐろ,1.2
