料理名,材料,量,単位,材料2,量2,単位2,材料3,量3,単位3,材料4,量4,単位4,材料5,量5,単位5,材料6,量6,単位6,材料7,量7,単位7,列10,列1,列2,列3,列4,列5,列6,列7,列8,列9,列93,列92,料理方法,人前
ジャーマンポテト,じゃがいも,3,個,玉葱,0.5,個,ベーコン,1,袋,ニンニク,4,cm,コンソメ,10,ml,塩,1,ml,胡椒,1,ml,,,,,,,,,,,,,,
麻婆豆腐,CookDo,1,袋,豆腐,0.5,丁,挽肉,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,
天ぷら,マヨネーズ,15,ml,小麦粉,50,g,水,75,ml,,,,,,,,,,,,,,,,,,,,,,,,,,
アクアパッツァ,鯛,3,切れ,エビ,40,g,ホタテ,40,g,なす,65,g,赤ピーマン,15,g,アスパラガス,20,g,エリンギ,20,g,ニンニク,2,cm,白ワイン,30,ml,塩,1,ml,油,15,ml,,
冷しゃぶ,豚肉,200,g,ポン酢,30,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卵焼き定食,卵,2,個,ミックスベジタブル,100,g,ソーセージ,1,袋,,,,,,,,,,,,,,,,,,,,,,,,,,
焼き肉定食,牛肉,200,g,ピーマン,2,個,玉葱,0.5,個,もやし,0.3,袋,,,,,,,,,,,,,,,,,,,,,,,
さしみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
うどん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜炒め,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ピザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鶏のネギ塩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
オクラ巻き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鶏の南蛮揚げ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
肉じゃが,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鶏雑炊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ごぼう人参巻き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
回鍋肉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ローストビーフ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
お好み焼き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ステーキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鶏の照り焼き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あじ揚げ物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鶏肉のネギマヨポン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
カレー,カレールー,0.5,箱,豚肉,200,g,人参,0.5,本,じゃがいも,2,個,玉葱,1,個,ニンニクチューブ,4,cm,パン,1,袋,水,500,ml,,,,,,,,,,HC:自動1-15:まぜあり45分,
パウンドケーキ,無塩バター,7.5,cm,砂糖,120,g,レモンの皮,0.25,個,卵,2,個,酒,5,g,薄力粉,140,g,ベーキングパウダー,2.5,ml,,,,,,,,,,,,,ビストロ:オーブン170度（余熱あり）60分,
